rank,searchTerm,source,name,address,city,state,zip,phone,website,rating,reviews,category,placeUrl
32,auto shops near los angeles,Google Maps,AVANTORRS AUTO REPAIR,"4800 W Washington Blvd, Los Angeles, CA 90016",Los Angeles,CA,90016,,,4.3,,"Drag to changeDrag to change, click to remove",https://www.google.com/maps/place/Euro+Auto+Center+%26+Service/data=!4m7!3m6!1s0x80c2b906925246db:0x349aaf9be4b25424!8m2!3d34.0444999!4d-118.3541729!16s%2Fg%2F1trc56mx!19sChIJ20ZSkga5woARJFSy5JuvmjQ?authuser=0&hl=en&rclk=1
33,auto shops near los angeles,Google Maps,AVANTORRS AUTO REPAIR,"4800 W Washington Blvd, Los Angeles, CA 90016",Los Angeles,CA,90016,,,4.3,,"Drag to changeDrag to change, click to remove",https://www.google.com/maps/place/J+%26+J+Auto+Services+Center/data=!4m7!3m6!1s0x80c2b847631e10c3:0x67786bb016166dc2!8m2!3d34.0258314!4d-118.3307344!16s%2Fg%2F1tk6ql4p!19sChIJwxAeY0e4woARwm0WFrBreGc?authuser=0&hl=en&rclk=1
34,auto shops near los angeles,Google Maps,Jiffy Lube,"5829 Adams Blvd, Culver City, CA 90232",Culver City,CA,90232,,https://www.jiffylube.com/locations/ca/culver-city/511,3.6,,"
",https://www.google.com/maps/place/Jiffy+Lube/data=!4m7!3m6!1s0x80c2b99f133f3cc3:0x57a3fc3df29a3910!8m2!3d34.0326807!4d-118.3710445!16s%2Fg%2F1vrq9x94!19sChIJwzw_E5-5woAREDma8j38o1c?authuser=0&hl=en&rclk=1
35,auto shops near los angeles,Google Maps,E & M Automotive,"5363 Venice Blvd. Unit B, Los Angeles, CA 90019",Los Angeles,CA,90019,,,4.6,,"
",https://www.google.com/maps/place/E+%26+M+Automotive/data=!4m7!3m6!1s0x80c2ba479cd8ed25:0x17a392441be0a543!8m2!3d34.0446176!4d-118.3571611!16s%2Fg%2F1ptyb0c29!19sChIJJe3YnEe6woARQ6XgG0SSoxc?authuser=0&hl=en&rclk=1
36,auto shops near los angeles,Google Maps,J & J Auto Services Center,"3203 W Jefferson Blvd, Los Angeles, CA 90018",Los Angeles,CA,90018,,,4.3,,"Drag to changeDrag to change, click to remove",https://www.google.com/maps/place/Kartek+Automotive/data=!4m7!3m6!1s0x80c2bb099013117d:0x798cd79ca9fd2850!8m2!3d34.0328398!4d-118.3741613!16s%2Fg%2F1tr8lvjp!19sChIJfRETkAm7woARUCj9qZzXjHk?authuser=0&hl=en&rclk=1
37,auto shops near los angeles,Google Maps,Integrity Auto Center,"5518 Venice Blvd., Los Angeles, CA 90019",Los Angeles,CA,90019,,https://integrityservicescenter.com/,3.9,,"
",https://www.google.com/maps/place/Integrity+Auto+Center/data=!4m7!3m6!1s0x80c2b908c9f77c71:0x65b4da2fbc49fb1!8m2!3d34.0435768!4d-118.3595369!16s%2Fg%2F1vfn6xtp!19sChIJcXz3yQi5woARsZ_E-6JNWwY?authuser=0&hl=en&rclk=1
38,auto shops near los angeles,Google Maps,Duke Choi's Auto Center,"4320 W Pico Blvd #3133, Los Angeles, CA 90019",Los Angeles,CA,90019,,,4.9,,"
",https://www.google.com/maps/place/Duke+Choi%27s+Auto+Center/data=!4m7!3m6!1s0x80c2b8f60c56aaab:0xe911c99b04b84d89!8m2!3d34.0476998!4d-118.3291865!16s%2Fg%2F11hd1vvn6q!19sChIJq6pWDPa4woARiU24BJvJEek?authuser=0&hl=en&rclk=1
39,auto shops near los angeles,Google Maps,Gateway Auto Service & Body Shop,"11464 Gateway Blvd, Los Angeles, CA 90064",Los Angeles,CA,90064,,https://www.autoservicelosangelesca.com/,4.7,,"
",https://www.google.com/maps/place/Gateway+Auto+Service+%26+Body+Shop/data=!4m7!3m6!1s0x80c2bb098fc1746f:0x5064c5850fecba3a!8m2!3d34.0334441!4d-118.441362!16s%2Fg%2F1tdxw8vb!19sChIJb3TBjwm7woAROrrsD4XFZFA?authuser=0&hl=en&rclk=1
40,auto shops near los angeles,Google Maps,Collision Consultants Auto Body & Paint,"2627 La Cienega Ave, Los Angeles, CA 90034",Los Angeles,CA,90034,,https://www.collisionbodyshop.com/,4.8,,"
",https://www.google.com/maps/place/Collision+Consultants+Auto+Body+%26+Paint/data=!4m7!3m6!1s0x80c2b99d7f6d4b95:0x9feeab09d90b447a!8m2!3d34.034012!4d-118.378439!16s%2Fg%2F1wrgkd_s!19sChIJlUttf525woARekQL2Qmr7p8?authuser=0&hl=en&rclk=1
41,auto shops near los angeles,Google Maps,Kartek Automotive,"5879 Washington Blvd, Culver City, CA 90232",Culver City,CA,90232,,https://kartekauto.com/,4.8,,"Drag to changeDrag to change, click to remove",https://www.google.com/maps/place/Steve+J+Yoo+Auto/data=!4m7!3m6!1s0x80c2b789bc6ccbdb:0xd1d40b20cd7d7442!8m2!3d34.0032625!4d-118.3300645!16s%2Fg%2F1v8y48xn!19sChIJ28tsvIm3woARQnR9zSAL1NE?authuser=0&hl=en&rclk=1
42,auto shops near los angeles,Google Maps,Best Automotive Repair,"1502 S Robertson Blvd, Los Angeles, CA 90035",Los Angeles,CA,90035,,,4.7,,"
",https://www.google.com/maps/place/Best+Automotive+Repair/data=!4m7!3m6!1s0x80c2b967a3dc527b:0xdece7fa21bff4a8e!8m2!3d34.0518317!4d-118.3836356!16s%2Fg%2F1th0ym8z!19sChIJe1Lco2e5woARjkr_G6J_zt4?authuser=0&hl=en&rclk=1
43,auto shops near los angeles,Google Maps,Steve J Yoo Auto,"3330 W Vernon Ave, Los Angeles, CA 90008",Los Angeles,CA,90008,,,4.2,,"Drag to changeDrag to change, click to remove",https://www.google.com/maps/place/Auto+Lube+%26+Repair/data=!4m7!3m6!1s0x80c2b97615d72fcd:0xb34107501ac349d7!8m2!3d34.0355196!4d-118.3766913!16s%2Fg%2F1tfzxrnm!19sChIJzS_XFXa5woAR10nDGlAHQbM?authuser=0&hl=en&rclk=1
44,auto shops near los angeles,Google Maps,Steve J Yoo Auto,"3330 W Vernon Ave, Los Angeles, CA 90008",Los Angeles,CA,90008,,,4.2,,"Drag to changeDrag to change, click to remove",https://www.google.com/maps/place/Union+General+Auto+Repair/data=!4m7!3m6!1s0x80c2b84d7b753d31:0x13406bda43785172!8m2!3d34.0324004!4d-118.3438559!16s%2Fg%2F1vcjmhz1!19sChIJMT11e024woARclF4Q9prQBM?authuser=0&hl=en&rclk=1
45,auto shops near los angeles,Google Maps,El Amigo Auto Service,"4466 W Pico Blvd, Los Angeles, CA 90019",Los Angeles,CA,90019,,,4.1,,"
",https://www.google.com/maps/place/El+Amigo+Auto+Service/data=!4m7!3m6!1s0x80c2b99a86b24295:0xb3d873fee98d0e89!8m2!3d34.0480192!4d-118.3327448!16s%2Fg%2F11rb3kxldk!19sChIJlUKyhpq5woARiQ6N6f5z2LM?authuser=0&hl=en&rclk=1
46,auto shops near los angeles,Google Maps,Union General Auto Repair,"4750 W Adams Blvd, Los Angeles, CA 90016",Los Angeles,CA,90016,,,3.8,,"Drag to changeDrag to change, click to remove",https://www.google.com/maps/place/Murfs+Auto+Tech+Center/data=!4m7!3m6!1s0x80c2ba152acfcaad:0x27e3df83e5794315!8m2!3d34.0289599!4d-118.3899615!16s%2Fg%2F1tr8lvj5!19sChIJrcrPKhW6woARFUN55YPf4yc?authuser=0&hl=en&rclk=1
47,auto shops near los angeles,Google Maps,G & D Automotive,"5650 W Pico Blvd, Los Angeles, CA 90019",Los Angeles,CA,90019,,,4.9,,"
",https://www.google.com/maps/place/G+%26+D+Automotive/data=!4m7!3m6!1s0x80c2b911bbd11681:0x978717424f50f9c!8m2!3d34.050281!4d-118.3617955!16s%2Fg%2F1twyztgc!19sChIJgRbRuxG5woARnA_1JHRxeAk?authuser=0&hl=en&rclk=1
48,auto shops near los angeles,Google Maps,Murfs Auto Tech Center,"8916 Ellis Ave, Los Angeles, CA 90034",Los Angeles,CA,90034,,https://www.facebook.com/Murfs-Auto-Tech-Center-125167184205434/,4.9,,"Drag to changeDrag to change, click to remove",https://www.google.com/maps/place/Quality+Automotive/data=!4m7!3m6!1s0x80c2ba2fd6997c79:0xf37b235403dbbc20!8m2!3d34.0064018!4d-118.4130927!16s%2Fg%2F1tdcb1tm!19sChIJeXyZ1i-6woARILzbA1Qje_M?authuser=0&hl=en&rclk=1
49,auto shops near los angeles,Google Maps,Murfs Auto Tech Center,"8916 Ellis Ave, Los Angeles, CA 90034",Los Angeles,CA,90034,,https://www.facebook.com/Murfs-Auto-Tech-Center-125167184205434/,4.9,,"Drag to changeDrag to change, click to remove",https://www.google.com/maps/place/Import+MotorWorx/data=!4m7!3m6!1s0x80c2bb11b2846419:0x88fe616833a7f42c!8m2!3d34.0329982!4d-118.3736489!16s%2Fg%2F126020h05!19sChIJGWSEshG7woARLPSnM2hh_og?authuser=0&hl=en&rclk=1
50,auto shops near los angeles,Google Maps,Murfs Auto Tech Center,"8916 Ellis Ave, Los Angeles, CA 90034",Los Angeles,CA,90034,,https://www.facebook.com/Murfs-Auto-Tech-Center-125167184205434/,4.9,,"Drag to changeDrag to change, click to remove",https://www.google.com/maps/place/AUTO+PHD/data=!4m7!3m6!1s0x80c2b84b3150224b:0x941ac0297aa16e8a!8m2!3d34.0329012!4d-118.3490851!16s%2Fg%2F1tjy1r_2!19sChIJSyJQMUu4woARim6heinAGpQ?authuser=0&hl=en&rclk=1
51,auto shops near los angeles,Google Maps,AUTO PHD,"4975 W Adams Blvd #105, Los Angeles, CA 90016",Los Angeles,CA,90016,,,4.8,,"Drag to changeDrag to change, click to remove",https://www.google.com/maps/place/Wrench+Automotive/data=!4m7!3m6!1s0x80c2b9a3d8cdca3b:0x93c75b9bd5cf486e!8m2!3d34.0322747!4d-118.3655735!16s%2Fg%2F11bzzj37p4!19sChIJO8rN2KO5woARbkjP1Ztbx5M?authuser=0&hl=en&rclk=1
